area,bedrooms,bathrooms,floors,parking,property_age,location,property_type,price
748.0,1,1.0,2,2.0,39.0,Chennai,Apartment,6790000.0
1387.0,2,1.0,2,2.0,15.0,Hyderabad,Apartment,11430000.0
1423.0,2,,1,0.0,24.0,Delhi,Independent House,18570000.0
1287.0,2,2.0,1,1.0,8.0,Mumbai,Apartment,20650000.0
1843.0,3,2.0,3,1.0,18.0,Chennai,Independent House,20350000.0
907.0,1,1.0,1,1.0,2.0,Delhi,Apartment,13250000.0
1237.0,2,2.0,1,1.0,34.0,Delhi,Apartment,16400000.0
848.0,1,1.0,1,2.0,4.0,Pune,Apartment,10340000.0
2343.0,4,4.0,1,0.0,0.0,Pune,Independent House,27020000.0
1383.0,2,2.0,2,2.0,32.0,Hyderabad,Apartment,12660000.0
1934.0,3,2.0,2,0.0,26.0,Delhi,Apartment,19180000.0
3616.0,6,5.0,2,3.0,37.0,Chennai,Villa,46460000.0
1517.0,2,2.0,1,1.0,40.0,Mumbai,Independent House,27310000.0
1629.0,3,3.0,3,1.0,24.0,Mumbai,Independent House,26740000.0
879.0,1,1.0,1,1.0,35.0,Chennai,Apartment,8290000.0
1106.0,2,1.0,2,1.0,24.0,Mumbai,Apartment,18090000.0
1457.0,2,1.0,1,1.0,27.0,Delhi,Apartment,18650000.0
1544.0,3,3.0,1,0.0,32.0,Bangalore,Apartment,12950000.0
1914.0,3,3.0,1,0.0,19.0,Kolkata,Independent House,16470000.0
2466.0,4,3.0,1,0.0,32.0,Mumbai,Independent House,37250000.0
2902.0,5,5.0,1,1.0,12.0,Kolkata,Villa,26660000.0
2062.0,3,3.0,3,1.0,43.0,Mumbai,Independent House,29580000.0
854.0,1,1.0,1,1.0,19.0,Delhi,Apartment,11130000.0
3107.0,5,4.0,3,,26.0,Bangalore,Villa,39370000.0
3129.0,5,4.0,3,3.0,23.0,Mumbai,Villa,73790000.0
2433.0,4,3.0,1,0.0,1.0,Hyderabad,Independent House,30290000.0
648.0,1,1.0,3,0.0,,Mumbai,Independent House,13740000.0
3187.0,6,5.0,2,3.0,8.0,Pune,Villa,41210000.0
1294.0,2,2.0,1,1.0,41.0,Mumbai,Apartment,15360000.0
4100.0,6,5.0,3,1.0,10.0,Mumbai,Villa,98360000.0
3027.0,5,4.0,2,2.0,45.0,Pune,Villa,27910000.0
2719.0,5,5.0,2,3.0,18.0,Delhi,Villa,48410000.0
